text,sentiment,clean_text
Also the music by Mark Snow is possibly the best score I've ever heard.,positive,also the music by mark snow is possibly the best score ive ever heard
You won't forget this movie!,positive,you wont forget this movie
Why was this film made?,negative,why was this film made
The film has an ultra-cheap look to it.,negative,the film has an ultracheap look to it
The result is a film that just don't look right.,negative,the result is a film that just dont look right
None of them are engaging or exciting.,negative,none of them are engaging or exciting
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.,negative,the plot is nonsense that doesnt interest in the slightest way or have any uniqueness to it
The Foreigner is not worth one second of your time.,negative,the foreigner is not worth one second of your time
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.",positive,i saw it as a child on tv back in when it was the stranger and i loved it
But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.,positive,but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronauts biggest fear is that he has crashed in the ussr
This movie is so awesome!,positive,this movie is so awesome
"I loved it, it was really scary.",positive,i loved it it was really scary
I love the Scream movies and all horror movies and this one ranks way up there.,positive,i love the scream movies and all horror movies and this one ranks way up there
If you want a real scare rent this one!,positive,if you want a real scare rent this one
10/10,positive,
This is an extraordinary film.,positive,this is an extraordinary film
"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.",positive,as a courtroom drama its compelling as an indictment on the american justice system its frightening
"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.",positive,this film highlights the fundamental flaws of the legal process that its not about discovering guilt or innocence but rather is about who presents better in court
"The film is well paced, understated and one of the best courtroom documentaries I've seen.",positive,the film is well paced understated and one of the best courtroom documentaries ive seen
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.,positive,this mostly routine factbased tv drama gets a boost from the fine performance by cole
"Predictable, but not a bad watch.",positive,predictable but not a bad watch
It was clear that she had the range and ability to pull off this part.,positive,it was clear that she had the range and ability to pull off this part
She carries the movie well.,positive,she carries the movie well
Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.,positive,constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations
"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.",positive,it is wonderful and inspiring to watch and i hope that it gets released again on to video or dvd
"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.",negative,how this piece of trash was ever released is beyond me the acting the story the characters the supposedly special effects etcits all wrong
"In fact, this stinker smells like a direct-to-video release.",negative,in fact this stinker smells like a directtovideo release
Avoid at ALL costs!,negative,avoid at all costs
Star Trek V The final Frontier is the worst in the series.,negative,star trek v the final frontier is the worst in the series
"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.",negative,the acting from all involved and that includes those like shatner and nimoy is bad and washed out and making them seem as old as they look in real life the special effects are tacky like when spock has to rescue kirk on a jet pack when he falls down from a mountain
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.,negative,the attempts at humor were pitiful and story is so awful it dosent bear thinking about which basically involves a vulcan stealing the enterprise to find god seriously i just didnt care about any of this film and oh not to mention uhura does a belly dance to distract male guards
The only place good for this film is in the garbage.,negative,the only place good for this film is in the garbage
The worst one of the series.,negative,the worst one of the series
Editing: The editing of this film was phenomenal in my opinion.,positive,editing the editing of this film was phenomenal in my opinion
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.",positive,when a song could explain the emotions of the subjects better such as when jay adams unfortunate life was a subject of talk the song old man by neil young was played which evokes many emotions
Cinematography: The film was shot in an interesting way.,positive,cinematography the film was shot in an interesting way
"Of course the footage from the 70s was grainy, but that only enhanced the film.",positive,of course the footage from the s was grainy but that only enhanced the film
This film offers many delights and surprises.,positive,this film offers many delights and surprises
"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.",positive,when achille and philippa beautifully sing a duet from don giovanni that perfectly describes their situation in the movie you appreciate the subtle layers of this excellent film
The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.,positive,the story unfolds in th century jutland and the use of period music played on period instruments is just one more fine touch
You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.,positive,you share general loewenhielms exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie but you do wish for just a small sample to savor
But this understated film leaves a lasting impression.,positive,but this understated film leaves a lasting impression
The warmth it generates is in contrast to its austere backdrop.,positive,the warmth it generates is in contrast to its austere backdrop
You will leave the theater wanting to go out and dance under the stars.,positive,you will leave the theater wanting to go out and dance under the stars
"The acting, as you'd expect from this cast, is top notch.",positive,the acting as youd expect from this cast is top notch
"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.",positive,the characters are fleshed out surprisingly well particularly grimes and blake and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic
"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.",positive,angus scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing violinplaying anatomist doctor quinn
Conclusion - I loved it.,positive,conclusion i loved it
It's a long time since I was so entertained by a movie.,positive,its a long time since i was so entertained by a movie
I struggle to find anything bad to say about it.,positive,i struggle to find anything bad to say about it
"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.",positive,mark my words this is one of those cult films like evil dead or phantasm that people will still be discovering and falling in love with years down the line
"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.",positive,its pretty surprising that this wonderful film was made in as hollywood generally had its collective heads in the sand concerning black and white issues at that time
"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.",positive,the film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesserknown cast and for the superintelligent script that doesnt insult the audience or take the easy way out when it comes to white racism
"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!",positive,plus with the movies rather modest budget and fast running time it does an amazing job
Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.,positive,juano hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the south
Trumbull on I LOVE LUCY).,positive,trumbull on i love lucy
See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.,positive,see it with your kids if you have a chanceit will open up some amazing dialog about how far race relations have come in the last years
See both films if you can.,positive,see both films if you can
"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.",positive,it was that year however that reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyces acclaimed novella the dead
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.",positive,feelings thoughtsgabriels discomfort during the danceall these intangibles leap to life and come within the viewers grasp in hustons portrayal
Very disappointed and wondered how it could be in the Oscar shortlist.,negative,very disappointed and wondered how it could be in the oscar shortlist
It's very slow.,negative,its very slow
Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.,negative,lot of holes in the plot theres nothing about how he became the emperor nothing about where he spend years between his childhood and mature age
) Don't waste your time.,negative,dont waste your time
End of Days is one of the worst big-budget action movies I've ever seen.,negative,end of days is one of the worst bigbudget action movies ive ever seen
He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.,negative,he surely doesnt know how to make a coherent action movie from the screenwriter of air force one who was only obliged to write the script just for a big sum of money
This was one of the worst films i have ever seen.,negative,this was one of the worst films i have ever seen
I'm still trying to get over how bad it was.,negative,im still trying to get over how bad it was
This movie is possibly one of the most creative works of horror ever.,positive,this movie is possibly one of the most creative works of horror ever
"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.",positive,it has everything you could want suspense drama comedy confusing subplots native americans brain eating if youre looking for the beall endall of brainsucking movies look no further
""" With great sound effects, and impressive special effects, I can't recommend this movie enough.",positive,with great sound effects and impressive special effects i cant recommend this movie enough
"Call me a nut, but I think this is one of the best movies ever.",positive,call me a nut but i think this is one of the best movies ever
Great character actors Telly Savalas and Peter Boyle.,positive,great character actors telly savalas and peter boyle
"positive hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?",negative,positive hour minutes of sheer tedium melodrama and horrible acting a mess of a script and a sinking feeling of good lord what were they thinking
Lots of holes in the script.,negative,lots of holes in the script
It's like a bad two hour TV movie.,negative,its like a bad two hour tv movie
Now imagine that every single one of those decisions was made wrong.,negative,now imagine that every single one of those decisions was made wrong
The dialogue is atrocious.,negative,the dialogue is atrocious
The acting is beyond abysmal.,negative,the acting is beyond abysmal
Everything stinks.,negative,everything stinks
"Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.",negative,trouble is the writing and directing make it impossible to establish those things that make a movie watchable like character story theme and so on
"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.",negative,worse theres an incredibly weak subplot thrown in that follows a little band of latterday mansonites as they go after a reporter whos working on a story on the anniversary of the killings
"It's dumb and pointless, and a complete waste of time.",negative,its dumb and pointless and a complete waste of time
"In short, don't bother with this movie.",negative,in short dont bother with this movie
"I won't spoil it, but the ending in pretty amazing.",positive,i wont spoil it but the ending in pretty amazing
"The best scene in the movie is at the end, but I won't spoil it.",positive,the best scene in the movie is at the end but i wont spoil it
"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!",positive,if there was ever an indication of a writer and a directors ability to meld two highly volatile temperaments into a seamless union of creativity then this is it
"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.",positive,the result is a powerhouse achievement made more timely now perhaps because of our cultures disturbing fascination with celebrity and its distorted interpretations of fame
A film not easily forgotten.,positive,a film not easily forgotten
"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.",positive,but kevin spacey is an excellent verbal tsunami as buddy ackerman and totally believable because he is a great actor
The scripting of the subtle comedy is unmatched by any movie in recent years.,positive,the scripting of the subtle comedy is unmatched by any movie in recent years
"The characters are interesting, even if a bit predictable.",positive,the characters are interesting even if a bit predictable
"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!",positive,highly recommended for all ages although the younger set will probably not appreciate some of the more subtle references they will certainly appreciate one galley scene in particular
Great movie!,positive,great movie
Also the story and acting were weak.,negative,also the story and acting were weak
"At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.",negative,at around pm i bought it at around pm i started to watch at around pm i fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain but there wasnt
"Either way, it sucks.",negative,either way it sucks
The script is horrendously stupid.,negative,the script is horrendously stupid
The story starts too fast with absolutely no suspense or build-up in the slightest.,negative,the story starts too fast with absolutely no suspense or buildup in the slightest
Everything Captain Howdy says is either laughable or just plain stupid.,negative,everything captain howdy says is either laughable or just plain stupid
What the hell kind of crap is that?!,negative,what the hell kind of crap is that
"Then, there's the plot holes.",negative,then theres the plot holes
You could drive a semi truck into these holes!,negative,you could drive a semi truck into these holes
Linda Cardellini is the only thing good in this film.,positive,linda cardellini is the only thing good in this film
She's poised and amazing.,positive,shes poised and amazing
Dee Snider just plain sucks.,negative,dee snider just plain sucks
"He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?",negative,he cant act one of the least scary villains i have ever seen he cant write did he write this damn movie in his sleep
I was bored throughout the whole damn thing.,negative,i was bored throughout the whole damn thing
"The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.",negative,the acting sucks the music sucks the script sucks the pacing sucks the special fx suck the directing sucks basically this movie sucks
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.,negative,this film tries to be a serious and sophisticated thrillerhorror flick and it fails miserably
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.,negative,this is probably one of the least effective and utterly unoriginal films i have ever seen in my entire life
A piece of cinematic garbage captured on celluloid.,negative,a piece of cinematic garbage captured on celluloid
Avoid at any and all costs.,negative,avoid at any and all costs
"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.",negative,at any rate this film stinks its not funny and fulci should have stayed with giallo and supernatural zombie movies
Avoid this film at all costs.,negative,avoid this film at all costs
"I don't know what happened in Season Five, what a mess.",negative,i dont know what happened in season five what a mess
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.,negative,the only consistent thread holding the series together were the amazing performances of leni parker and anita laselva as the two taelons in quiet idealogical conflict
Now this is a movie I really dislike.,negative,now this is a movie i really dislike
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.,negative,its one of the most boring horror movies from the s mainly because it starts slow and centers in a boring atmosphere
"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.",negative,the puppets look really cheesy not in a good way like in the puppet master s flicks
"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.",negative,the story is lame not interesting and never really explains the sinister origins of the puppets
There aren't death scenes like in previous movies and the f/x are terrible.,negative,there arent death scenes like in previous movies and the fx are terrible
"I felt asleep the first time I watched it, so I can recommend it for insomniacs.",negative,i felt asleep the first time i watched it so i can recommend it for insomniacs
"The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.",positive,the fact is this film is a wonderful heartwarming tale about two people chasing their dreams
"The best part about ""Nurse Betty"" is it's unpredictability.",positive,the best part about nurse betty is its unpredictability
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.",positive,director neil labute uses brutal violence to seperate dreams from reality and along with the touching drama and hilarious comedy you can never tell what is going to happen next
"Otherwise, don't even waste your time on this.",negative,otherwise dont even waste your time on this
This one just fails to create any real suspense.,negative,this one just fails to create any real suspense
"As for the killer, don't expect anything original or even remotely frightening.",negative,as for the killer dont expect anything original or even remotely frightening
"There is, however, some pretty good acting (at least, for this type of film).",positive,there is however some pretty good acting at least for this type of film
I'm so sorry but I really can't recommend it to anyone.,negative,im so sorry but i really cant recommend it to anyone
"One of the most boring,pointless movies I have ever seen.",negative,one of the most boringpointless movies i have ever seen
The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.,negative,the secondary plot line is incomprehensible and its relation to the primary plot line is mystifying
Hated it.,negative,hated it
This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.,negative,this is one of the worst sandra bullock movie since speed but not quite that bad
"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!",negative,i dont understand how this garbage got on the shelves of the movie store its not even a real movie
I highly doubt that anyone could ever like this trash.,negative,i highly doubt that anyone could ever like this trash
This is not movie-making.,negative,this is not moviemaking
"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.",negative,the acting is like watching wooden puppets moving around and reading from a book thats how bad it is
"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!",negative,so i am here to warn youdo not rent this movie it is the dumbest thing you have never seen
I saw this short film on HBO the other day and absolutely loved it.,positive,i saw this short film on hbo the other day and absolutely loved it
I didn't realize how wonderful the short really is until the last two scenes.,positive,i didnt realize how wonderful the short really is until the last two scenes
Excellent short film.,positive,excellent short film
"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.",positive,hopefully the director james cox can turn the short into a feature length film with the same cast or win us over with a whole new film
"I agree with Jessica, this movie is pretty bad.",negative,i agree with jessica this movie is pretty bad
"Characters are one-dimensional, even the good guys and especially the bad guys.",negative,characters are onedimensional even the good guys and especially the bad guys
The story line is totally predictable.,negative,the story line is totally predictable
"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.",positive,not much dialogue not much music the whole film was shot as elaborately and aesthetically like a sculpture
I've seen soap operas more intelligent than this movie.,negative,ive seen soap operas more intelligent than this movie
"Bad characters, bad story and bad acting.",negative,bad characters bad story and bad acting
Really awful.,negative,really awful
Not easy to watch.,negative,not easy to watch
"Funny, clever, hip - just like Pray's previous film, Hype!",positive,funny clever hip just like prays previous film hype
It was a long time that i didn't see a so charismatic actor on screen.,positive,it was a long time that i didnt see a so charismatic actor on screen
Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.,positive,paolo sorrentino has written a wonderful story about loneliness and tony has built one of the most unforgettable characters seen in movies in recent years
The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.,positive,the movie is not completely perfect but titta di girolamo will stay with you for a long time after the vision of the movie
I rate this movie 9/10.,positive,i rate this movie
"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.",positive,i do not know if this was emilio estevezs directorial debut but the pacing the interplay and development of the characters as well as some clever camera work surrounding the character estevez plays all suggest a natural eye
The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.,positive,the interplay between martin and emilio contains the same wonderful chemistry we saw in wall street with martin and charlie
"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".",positive,kathy bates is wonderful in her characters subtle desperation and escapism a variation on her character in at play in the fields of the lord
For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.,positive,for readers who have already seen one of miyazakis films he is still in top form and made another worthwhile experience
"It never condescends, all the characters have good genuine hearts and believable problems.",positive,it never condescends all the characters have good genuine hearts and believable problems
The two main characters may be two of the most believable children I ever saw put on screen.,positive,the two main characters may be two of the most believable children i ever saw put on screen
"They are so easy to love, but even more easy to identify with.",positive,they are so easy to love but even more easy to identify with
This movie is great--especially if you enjoy visual arts.,positive,this movie is greatespecially if you enjoy visual arts
The scenery that the two daughters paint and photograph are beautiful.,positive,the scenery that the two daughters paint and photograph are beautiful
The story is also both funny and poignant at times.,positive,the story is also both funny and poignant at times
"People who like European films and ""art movies"" will like this movie.",positive,people who like european films and art movies will like this movie
This is truly an art movie--it actually has a lot of art in it.,positive,this is truly an art movieit actually has a lot of art in it
Go rent it.,positive,go rent it
"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.",positive,however after finally watching this film i realized that not only had i had a closed mind to the brilliance it depicts i also found myself watching it over and over again
"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.",positive,its the one movie that never ceases to interest me simply because it keeps me alert as i try to attempt to decipher its meanings
Brilliance indeed.,positive,brilliance indeed
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.",positive,but if you liked movies like the matrix and better yet their sequels i think youll appreciate the thought provoking mindblowing experience this film will give you
Think of the film being like a dream.,positive,think of the film being like a dream
Simply beautiful.,positive,simply beautiful
Both Rickman and Stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.,positive,both rickman and stowe play their roles to the hilt in this tale of a childrens book writer who maybe has written a subversive tract
"It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.",positive,its a gloriously fun fast paced and fairly accurate portrayal of the night of a raver
It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.,positive,it presents a idyllic yet serious portrayal of the ups and downs of the characters lives
"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.",negative,just whatever you do avoid groove as its the antithesis of all that is good about human traffic
"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.",negative,its too bad that everyone else involved didnt share crowes level of dedication to quality for if they did wed have a far better film on our hands than this subpar mess
The movie seemed a little slow at first.,negative,the movie seemed a little slow at first
But it picked up speed and got right to the point.,positive,but it picked up speed and got right to the point
"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".",positive,it showed exactly how the government and the scientist argued for humanity and the reasons of the gadget
I enjoyed it.,positive,i enjoyed it
I have recommended it to friends.,positive,i have recommended it to friends
I was particularly pleased with the acting ability of Dwight Schultz.,positive,i was particularly pleased with the acting ability of dwight schultz
"Both actors truly understand and become their particular character, delivering a convincing, sincere performance.",positive,both actors truly understand and become their particular character delivering a convincing sincere performance
"Their on-screen chemistry, critical to the entire film, is genuine.",positive,their onscreen chemistry critical to the entire film is genuine
"The film's dialogue is natural, real to life.",positive,the films dialogue is natural real to life
"The writer, Gorman Bechard, undoubtedly did his homework because all references are industry and character-age appropriate.",positive,the writer gorman bechard undoubtedly did his homework because all references are industry and characterage appropriate
The incredible soundtrack truly captures the essence of the film.,positive,the incredible soundtrack truly captures the essence of the film
"Each track commands sentiment, actually contributing to the scenes and characters.",positive,each track commands sentiment actually contributing to the scenes and characters
Definitely worth seeing it's the sort of thought provoking film that forces you to question your own threshold of loneliness.,positive,definitely worth seeing its the sort of thought provoking film that forces you to question your own threshold of loneliness
"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.",positive,hayao miyazakis latest and eighth film for studio ghibili gake no ue no ponyo ponyo on the cliff by the sea is a wonderfully fun and imaginative look at childhood
"At a time when it seems that film animation has been dominated by Disney/Pixar's CGI masterpieces, it is both refreshing and comforting to know that Miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.",positive,at a time when it seems that film animation has been dominated by disneypixars cgi masterpieces it is both refreshing and comforting to know that miyazaki is still relying on traditional handdrawn animation to tell his charming and enchanting stories
Enough can not be said of the remarkable animation in this film.,positive,enough can not be said of the remarkable animation in this film
The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.,positive,the art style has the appearance of crayonpencil drawings and is wonderfully colorful and fanciful
"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!",negative,if you act in such a film you should be glad that youre gonna drift away from earth as far as possible
"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.",negative,this one wants to surf on the small wave of space movies in deep impact and armageddon and this one fails everywhere
If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.,negative,if you havent choked in your own vomit by the end by all the cheap drama and worthless dialogue youve must have bored yourself to death with this waste of time
"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.",positive,still it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost
"Just consider the excellent story, solid acting and look of the film as added bonuses.",positive,just consider the excellent story solid acting and look of the film as added bonuses
"Instead, we got a bore fest about a whiny, spoiled brat babysitting.",negative,instead we got a bore fest about a whiny spoiled brat babysitting
"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.",positive,then i watched it again two sundays ago march th and i began to really enjoy it and this time i taped the entire thing
It is a very well acted and done TV Movie.,positive,it is a very well acted and done tv movie
Judith Light is one of my favorite actresses and I think she does a superb job in this film!,positive,judith light is one of my favorite actresses and i think she does a superb job in this film
I keep watching it over and over.,positive,i keep watching it over and over
"It's a sad movie, but very good.",positive,its a sad movie but very good
"If you have not seen this movie, I definitely recommend it!",positive,if you have not seen this movie i definitely recommend it
"She is as lovely as usual, this cutie!",positive,she is as lovely as usual this cutie
Still it's quite interesting and entertaining to follow.,positive,still its quite interesting and entertaining to follow
;) Recommend with confidence!,positive,recommend with confidence
This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.,positive,this movie is wellbalanced with comedy and drama and i thoroughly enjoyed myself
It was a riot to see Hugo Weaving play a sex-obsessed gay real estate salesman who uses his clients' houses for his trysts with the flaming Darren (Tom Hollander).,positive,it was a riot to see hugo weaving play a sexobsessed gay real estate salesman who uses his clients houses for his trysts with the flaming darren tom hollander
":) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.",positive,anyway the plot flowed smoothly and the malebonding scenes were a hoot
"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.",positive,the opening sequence of this gem is a classic and the cat n mouse games that follow are a delight to watch
Fans of the genre will be in heaven.,positive,fans of the genre will be in heaven
Lange had become a great actress.,positive,lange had become a great actress
It looked like a wonderful story.,positive,it looked like a wonderful story
I never walked out of a movie faster.,negative,i never walked out of a movie faster
I just got bored watching Jessice Lange take her clothes off!,negative,i just got bored watching jessice lange take her clothes off
"Unfortunately, any virtue in this film's production work was lost on a regrettable script.",negative,unfortunately any virtue in this films production work was lost on a regrettable script
"In a word, it is embarrassing.",negative,in a word it is embarrassing
Exceptionally bad!,negative,exceptionally bad
All in all its an insult to one's intelligence and a huge waste of money.,negative,all in all its an insult to ones intelligence and a huge waste of money
